race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,horse_country,is_overseas_race,country_value_score,history_count,avg_finish,avg_last3f,avg_popularity,avg_weight,avg_odds,current_popularity_score,popularity_gap,days_since_last_run,odds_history_trend,odds_volatility,odds_snapshot_count,odds_first,odds_latest,odds_min,odds_max,odds_range_ratio,odds_slope_recent,odds_slope_full,popularity_latest,popularity_change,odds_span_minutes,speed_score,front_rate,closing_strength,consistency,ability_score,course_score,pace_score,weight_score,jockey_score,market_support,market_support_base,pace_high,pace_mid,pace_slow,pace_mix_high,pace_mix_mid,pace_mix_slow,model_score,win_odds,predicted_odds_structural,predicted_odds_live,predicted_odds,predicted_odds_source,win_prob,fair_odds,market_prob,market_shrink_used,probability_cap,probability_band,ev,ev_win,ev_current,ev_predicted_structural,ev_predicted_live,ev_predicted,odds_gap,odds_gap_ratio,ev_delta,ev_delta_ratio,win5_rank
20260606_東京_09,pw01dud002022101307/7D,ガンバルマン,6,7,菅原 明良,58,21.1,7,東京,2026-06-06,09,芝,2400,,0,0.0,4,5.9677,35.1468,2.4516,57.8226,0,7,4.5484,35,0,0,2,21.1,21.1,21.1,21.1,0,0,0,7,0,0.6777,0.8361,0.4089,0.2844,0.2867,0.2738,0.3489,0.349546,-0.0591,0.0,0.0474,0.0474,0.391745,0.30469,0.37257,0.37491,0.44509,0.18,0.220729,21.1,22.23371,21.101537,22.23371,structural,0.053982,18.524678,0.037659,0.580407,0.053982,contender,1.139021,1.139021,1.139021,1.200221,1.139104,1.200221,1.13371,0.05373,0.0612,0.05373,8
20260606_東京_09,pw01dud002021104103/90,サンセットビュー,7,9,M.ディー,56,21.2,8,東京,2026-06-06,09,芝,2400,,0,0.0,4,7.3548,35.3242,8.1935,56,0,8,-0.1935,35,0,0,2,21.2,21.2,21.2,21.2,0,0,0,8,0,0.6777,0.8242,0.5266,0.2253,0.1859,0.2169,0.3565,0.313396,0.0,0.2097,0.0472,0.0472,0.312135,0.26954,0.424465,0.37491,0.44509,0.18,0.213591,21.2,20.293379,21.198771,20.293379,structural,0.053682,18.628324,0.037481,0.580407,0.053682,contender,1.138052,1.138052,1.138052,1.089383,1.137986,1.089383,-0.906621,-0.042765,-0.048669,-0.042765,7
20260606_東京_09,pw01dud002021104927/04,リリエンフェルト,5,6,原田 和真,56,87.8,12,東京,2026-06-06,09,芝,2400,,0,0.0,4,4.8871,39.5726,4.9839,55.1774,0,12,7.0161,35,0,0,2,87.8,87.8,87.8,87.8,0,0,0,12,0,0.6777,0.1516,0.5,0.0,0.2297,0.2638,0.0,0.255199,-0.2742,0.096,0.0114,0.0114,0.175,0.30081,0.309455,0.37491,0.44509,0.18,0.13874,87.8,89.687134,87.802558,89.687134,structural,0.012695,78.771295,0.00905,0.740407,0.012695,outsider,1.114619,1.114619,1.114619,1.138576,1.114652,1.138576,1.887134,0.021494,0.023957,0.021494,12
20260606_東京_09,pw01dud002022105597/2B,ゲンジ,5,5,F.ゴンサルベス,58,18.3,6,東京,2026-06-06,09,芝,2400,,0,0.0,4,5.1129,35.7,3.1613,57.8226,0,6,2.8387,35,0,0,2,18.3,18.3,18.3,18.3,0,0,0,6,0,0.6777,0.7813,0.833,0.1,0.3038,0.3017,0.1952,0.329352,-0.0591,0.0,0.0546,0.0546,0.12345,0.40859,0.56228,0.37491,0.44509,0.18,0.208562,18.3,18.783244,18.300655,18.783244,structural,0.060612,16.49844,0.043421,0.580407,0.060612,contender,1.109196,1.109196,1.109196,1.138486,1.109235,1.138486,0.483244,0.026407,0.02929,0.026407,6
20260606_東京_09,pw01dud002023106254/7A,ニシノヒノトリ,2,2,津村 明秀,54,16.7,5,東京,2026-06-06,09,芝,2400,,0,0.0,4,2.4839,35.2887,3.1129,57,0,5,1.8871,35,0,0,2,16.7,16.7,16.7,16.7,0,0,0,5,0,0.6777,0.8046,0.8254,0.2371,0.435,0.4994,0.3548,0.436007,1.0,0.6476,0.0599,0.0599,0.215225,0.54528,0.62566,0.37491,0.44509,0.18,0.468177,16.7,16.844802,16.700196,16.844802,structural,0.066035,15.143452,0.047581,0.580407,0.066035,contender,1.102787,1.102787,1.102787,1.112349,1.1028,1.112349,0.144802,0.008671,0.009562,0.008671,5
20260606_東京_09,pw01dud002023106843/1D,ヴォートセレスト,3,3,石川 裕紀人,54,12.7,4,東京,2026-06-06,09,芝,2400,,0,0.0,1,1,33.4,3,56,0,4,1,35,0,0,2,12.7,12.7,12.7,12.7,0,0,0,4,0,0.6777,0.8521,0.8235,0.8667,1.0,0.9734,0.6833,0.803251,0.6667,0.35,0.0787,0.0787,0.62513,0.9514,0.807915,0.37491,0.44509,0.18,0.72379,12.7,12.811156,12.700151,12.811156,structural,0.085239,11.731778,0.062567,0.580407,0.085239,contender,1.08253,1.08253,1.08253,1.092005,1.082543,1.092005,0.111156,0.008752,0.009475,0.008752,4
20260606_東京_09,pw01dud002022105132/C8,オリオアルセーリオ,8,11,北村 宏司,56,62.2,11,東京,2026-06-06,09,芝,2400,,0,0.0,4,3.8871,35.9194,4.2903,54.7258,0,11,6.7097,35,0,0,2,62.2,62.2,62.2,62.2,0,0,0,11,0,0.6777,0.7634,0.7704,0.0269,0.3266,0.3773,0.1769,0.327479,-0.4247,0.079,0.0161,0.0161,0.097845,0.44071,0.52578,0.37491,0.44509,0.18,0.209905,62.2,64.774296,62.203489,64.774296,structural,0.016759,59.670676,0.012775,0.740407,0.016759,outsider,1.042388,1.042388,1.042388,1.08553,1.042447,1.08553,2.574296,0.041387,0.043142,0.041387,11
20260606_東京_09,pw01dud002021106972/F3,トラストボス,1,1,三浦 皇成,58,40.3,10,東京,2026-06-06,09,芝,2400,,0,0.0,4,3.9194,34.6371,4.5968,57.8226,0,10,5.4032,35,0,0,2,40.3,40.3,40.3,40.3,0,0,0,10,0,0.6777,0.8013,0.6983,0.4543,0.4785,0.3203,0.4683,0.454972,-0.0591,0.65,0.0248,0.0248,0.40089,0.44336,0.59633,0.37491,0.44509,0.18,0.323132,40.3,42.758801,40.303333,42.758801,structural,0.024312,41.132754,0.019717,0.740407,0.024312,outsider,0.979754,0.979754,0.979754,1.039532,0.979835,1.039532,2.458801,0.061012,0.059777,0.061012,10
20260606_東京_09,pw01dud002022105773/A1,リアライズオーラム,4,4,荻野 極,58,27.8,9,東京,2026-06-06,09,芝,2400,,0,0.0,4,10.8548,36.8,5.2419,54.9677,0,9,3.7581,35,0,0,2,27.8,27.8,27.8,27.8,0,0,0,9,0,0.6777,0.8451,0.3956,0.0,0.2128,0.209,0.0618,0.237698,-1.0108,0.0,0.036,0.036,0.21154,0.24746,0.26804,0.37491,0.44509,0.18,0.05792,27.8,29.934808,27.802894,29.934808,structural,0.033619,29.745276,0.028583,0.740407,0.033619,outsider,0.934602,0.934602,0.934602,1.006372,0.934699,1.006372,2.134808,0.076792,0.07177,0.076792,9
20260606_東京_09,pw01dud002023105248/47,イブキ,8,12,横山 和生,54,4.7,3,東京,2026-06-06,09,芝,2400,,0,0.0,4,2.9677,34.1952,2.4355,57,0,3,0.5645,35,0,0,2,4.7,4.7,4.7,4.7,0,0,0,3,0,0.6777,0.8191,0.5,0.6016,0.238,0.488,0.6406,0.487623,1.0,0.096,0.2128,0.2128,0.56604,0.4154,0.50288,0.37491,0.44509,0.18,0.48588,4.7,5.168835,4.700635,5.168835,structural,0.166779,5.995972,0.169065,0.380407,0.245747,favorite,0.78386,0.78386,0.78386,0.862051,0.783966,0.862051,0.468835,0.099752,0.078192,0.099752,3
