race_id,bet_type,combination,odds,odds_min,odds_max,captured_at,source_cname
20260607_東京_11,win,1,7.8,,,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,place,1,2.8,2.8,4.3,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,win,2,210.1,,,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,place,2,32.0,32.0,51.0,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,win,3,43.5,,,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,place,3,5.3,5.3,8.3,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,win,4,21.5,,,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,place,4,4.9,4.9,7.6,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,win,5,111.7,,,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,place,5,18.2,18.2,29.1,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,win,6,10.5,,,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,place,6,2.4,2.4,3.6,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,win,7,21.7,,,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,place,7,5.0,5.0,7.8,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,win,8,28.0,,,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,place,8,5.4,5.4,8.3,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,win,9,26.9,,,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,place,9,4.2,4.2,6.5,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,win,10,51.8,,,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,place,10,9.4,9.4,14.8,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,win,11,19.0,,,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,place,11,3.4,3.4,5.1,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,win,12,136.9,,,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,place,12,18.2,18.2,29.0,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,win,13,13.4,,,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
20260607_東京_11,place,13,2.9,2.9,4.4,2026-06-22T23:45:56.648446+00:00,pw151ouS305202603021120260607Z/38
