race_id,horse_id,horse_name,horse_number,current_odds,current_popularity,captured_at
20260607_東京_11,pw01dud002017103751/0E,サクラトゥジュール,5,197.4,16,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002018104708/5E,ロングラン,2,392.1,17,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002019102632/59,セイウンハーデス,13,11,6,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002019104476/E1,ガイアフォース,14,2.9,1,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002020102078/A4,レーベンスティール,1,7.9,3,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002020103075/3A,シャンパンカラー,8,35.7,10,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002020105018/11,スズハローム,7,44.7,12,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002021100953/AC,ウォーターリヒト,9,30.8,9,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002021104094/62,シリウスコルト,12,181.2,15,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002021105557/5F,トロヴァトーレ,17,4.9,2,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002021105724/38,シックスペンス,4,21.6,8,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002021105743/E5,ステレンボッシュ,6,9.5,5,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002021105864/A9,ワールズエンド,11,15.1,7,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002021110031/BB,オフトレイル,3,35.7,10,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002022101732/32,パンジャタワー,16,8.3,4,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002022105891/0C,ドラゴンブースト,15,47.2,13,2026-06-22T23:46:20.350676+00:00
20260607_東京_11,pw01dud002022110083/7D,ルクソールカフェ,10,90.6,14,2026-06-22T23:46:20.350676+00:00
