race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,horse_country,is_overseas_race,country_value_score,history_count,avg_finish,avg_last3f,avg_popularity,avg_weight,avg_odds,current_popularity_score,popularity_gap,days_since_last_run,odds_history_trend,odds_volatility,odds_snapshot_count,odds_first,odds_latest,odds_min,odds_max,odds_range_ratio,odds_slope_recent,odds_slope_full,popularity_latest,popularity_change,odds_span_minutes,speed_score,front_rate,closing_strength,consistency,ability_score,course_score,pace_score,weight_score,jockey_score,market_support,market_support_base,pace_high,pace_mid,pace_slow,pace_mix_high,pace_mix_mid,pace_mix_slow,model_score,win_odds,predicted_odds_structural,predicted_odds_live,predicted_odds,predicted_odds_source,win_prob,fair_odds,market_prob,market_shrink_used,probability_cap,probability_band,ev,ev_win,ev_current,ev_predicted_structural,ev_predicted_live,ev_predicted,odds_gap,odds_gap_ratio,ev_delta,ev_delta_ratio
20260614_阪神_11,pw01dud002021106787/E0,コスモキュランダ,5,9,横山 武史,58,48.8,8,阪神,2026-06-14,11,芝,2200,,0,0.0,4,6.9677,35.5194,9.7097,57.6774,0,8,-1.7097,35,0,0,1,48.8,48.8,48.8,48.8,0,0,0,8,0,0,0.8779,0.8985,0.1602,0.2155,0.282,0.1685,0.307464,-0.1075,0.3879,0.0205,0.0205,0.139655,0.38535,0.57705,0.457447,0.362553,0.18,0.216116,48.8,42.573004,48.8,42.573004,structural,0.028852,34.659515,0.016184,0.58,0.028852,contender,1.407983,1.407983,1.407983,1.228321,1.407983,1.228321,-6.226996,-0.127602,-0.179662,-0.127602
20260614_阪神_11,pw01dud002021105587/8F,ビザンチンドリーム,3,6,西村 淳也,58,38.6,7,阪神,2026-06-14,11,芝,2200,,0,0.0,4,4.2097,35.8048,9.2903,58.5242,0,7,-2.2903,35,0,0,1,38.6,38.6,38.6,38.6,0,0,0,7,0,0,0.4947,0.5157,0.0651,0.2954,0.3185,0.143,0.290908,0.1747,0.079,0.0259,0.0259,0.21182,0.35101,0.370845,0.457447,0.362553,0.18,0.223739,38.6,33.899455,38.6,33.899455,structural,0.033845,29.546653,0.020461,0.58,0.033845,contender,1.306409,1.306409,1.306409,1.14732,1.306409,1.14732,-4.700545,-0.121776,-0.159089,-0.121776
20260614_阪神_11,pw01dud002022104902/31,マイユニバース,7,15,横山 典弘,58,19.2,6,阪神,2026-06-14,11,芝,2200,,0,0.0,4,3.3548,35.2855,2.5,56.6774,0,6,3.5,35,0,0,1,19.2,19.2,19.2,19.2,0,0,0,6,0,0,0.8409,0.6983,0.2382,0.1648,0.528,0.1465,0.364896,-0.4409,0.7435,0.0521,0.0521,0.260425,0.4531,0.452735,0.457447,0.362553,0.18,0.331113,19.2,19.915753,19.2,19.915753,structural,0.0583,17.152729,0.041135,0.58,0.0583,contender,1.119355,1.119355,1.119355,1.161084,1.119355,1.161084,0.715753,0.037279,0.041728,0.037279
20260614_阪神_11,pw01dud002021110048/F0,シンエンペラー,6,11,坂井 瑠星,58,86.1,12,阪神,2026-06-14,11,芝,2200,,0,0.0,4,7.9355,35.6081,7.2742,57.7258,0,12,4.7258,35,0,0,1,86.1,86.1,86.1,86.1,0,0,0,12,0,0,0.8473,0.5602,0.1306,0.2159,0.2213,0.1336,0.28197,-0.0914,0.4403,0.0116,0.0116,0.23882,0.28746,0.380575,0.457447,0.362553,0.18,0.186069,86.1,88.140587,86.1,88.140587,structural,0.012847,77.839833,0.009173,0.74,0.012847,outsider,1.106117,1.106117,1.106117,1.132333,1.106117,1.132333,2.040587,0.0237,0.026215,0.0237
20260614_阪神_11,pw01dud002020103101/2F,シェイクユアハート,7,13,古川 吉洋,58,80.9,11,阪神,2026-06-14,11,芝,2200,,0,0.0,4,2,33.6823,4.9839,57.0645,0,11,6.0161,35,0,0,1,80.9,80.9,80.9,80.9,0,0,0,11,0,0,0.939,0.5769,0.7726,0.4495,0.6223,0.1758,0.579739,-0.3118,0.8419,0.0124,0.0124,0.650275,0.56138,0.43746,0.457447,0.362553,0.18,0.422632,80.9,82.938699,80.9,82.938699,structural,0.013602,73.517935,0.009763,0.74,0.013602,outsider,1.100412,1.100412,1.100412,1.128142,1.100412,1.128142,2.038699,0.0252,0.027731,0.0252
20260614_阪神_11,pw01dud002022106120/C1,ミクニインスパイア,2,4,丹内 祐次,58,66.8,10,阪神,2026-06-14,11,芝,2200,,0,0.0,4,1.3226,34.5548,1.5484,55.8226,0,10,8.4516,35,0,0,1,66.8,66.8,66.8,66.8,0,0,0,10,0,0,0.8169,0.8681,0.4817,0.6978,0.7898,0.1648,0.560044,-0.7258,0.8871,0.015,0.015,0.35927,0.77786,0.631565,0.457447,0.362553,0.18,0.459099,66.8,69.208291,66.8,69.208291,structural,0.015881,62.96991,0.011823,0.74,0.015881,outsider,1.060824,1.060824,1.060824,1.099069,1.060824,1.099069,2.408291,0.036052,0.038245,0.036052
20260614_阪神_11,pw01dud002021106548/B1,タガノデュード,4,8,高杉 吏麒,58,52.8,9,阪神,2026-06-14,11,芝,2200,,0,0.0,4,3.4355,34.5581,6.4355,57.3226,0,9,2.5645,35,0,0,1,52.8,52.8,52.8,52.8,0,0,0,9,0,0,0.9174,0.5939,0.4806,0.3204,0.4477,0.3272,0.452107,-0.2258,0.1411,0.0189,0.0189,0.454525,0.43875,0.472865,0.457447,0.362553,0.18,0.301671,52.8,55.337287,52.8,55.337287,structural,0.019195,52.096915,0.014958,0.74,0.019195,outsider,1.013496,1.013496,1.013496,1.062199,1.013496,1.062199,2.537287,0.048055,0.048703,0.048055
20260614_阪神_11,pw01dud002021105143/BF,ダノンデサイル,1,1,戸崎 圭太,58,8.4,5,阪神,2026-06-14,11,芝,2200,,0,0.0,4,3.3548,34.8742,3.6452,58.5323,0,5,1.3548,35,0,0,1,8.4,8.4,8.4,8.4,0,0,0,5,0,0,0.8838,0.5944,0.3753,0.5359,0.4728,0.3714,0.456997,0.1774,0.4403,0.119,0.119,0.385905,0.51605,0.518725,0.457447,0.362553,0.18,0.387388,8.4,8.612023,8.4,8.612023,structural,0.119946,8.337078,0.094023,0.58,0.120774,contender,1.007547,1.007547,1.007547,1.032979,1.007547,1.032979,0.212023,0.025241,0.025431,0.025241
20260614_阪神_11,pw01dud002021105898/A5,レガレイラ,8,17,C.ルメール,56,7.2,4,阪神,2026-06-14,11,芝,2200,,0,0.0,4,3.7419,34.7806,1.1774,56.2258,0,4,2.8226,35,0,0,1,7.2,7.2,7.2,7.2,0,0,0,4,0,0,0.8933,0.5702,0.4065,0.1967,0.4553,0.2815,0.411919,0.0753,0.3847,0.1389,0.1389,0.414655,0.4007,0.427565,0.457447,0.362553,0.18,0.350011,7.2,7.736287,7.2,7.736287,structural,0.13192,7.580323,0.109693,0.58,0.138891,contender,0.949828,0.949828,0.949828,1.020575,0.949828,1.020575,0.536287,0.074484,0.070747,0.074484
20260614_阪神_11,pw01dud002021100651/33,ファミリータイム,4,7,幸 英明,58,263.7,18,阪神,2026-06-14,11,芝,2200,,0,0.0,4,5.2097,34.771,5.2097,55.8226,0,18,12.7903,35,0,0,1,263.7,263.7,263.7,263.7,0,0,0,18,0,0,0.8281,0.7903,0.4097,0.2302,0.3552,0.4304,0.409824,-0.7258,0.0621,0.0038,0.0038,0.3397,0.40472,0.598315,0.457447,0.362553,0.18,0.222372,263.7,277.559969,263.7,277.559969,structural,0.003564,280.617171,0.002995,0.88,0.003564,longshot,0.939714,0.939714,0.939714,0.989105,0.939714,0.989105,13.859969,0.05256,0.049391,0.05256
