race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,target_weather,target_track_condition,target_conditions_captured_at,horse_country,is_overseas_race,country_value_score,history_count,avg_finish,avg_last3f,avg_popularity,avg_weight,avg_odds,current_popularity_score,popularity_gap,days_since_last_run,odds_history_trend,odds_volatility,odds_snapshot_count,odds_first,odds_latest,odds_min,odds_max,odds_range_ratio,odds_slope_recent,odds_slope_full,popularity_latest,popularity_change,odds_span_minutes,speed_score,front_rate,closing_strength,consistency,ability_score,course_score,pace_score,weight_score,jockey_score,market_support,market_support_base,pace_high,pace_mid,pace_slow,pace_mix_high,pace_mix_mid,pace_mix_slow,model_score,win_odds,predicted_odds_structural,predicted_odds_live,predicted_odds,predicted_odds_source,win_prob,fair_odds,market_prob,market_shrink_used,probability_cap,probability_band,ev,ev_win,ev_current,ev_predicted_structural,ev_predicted_live,ev_predicted,odds_gap,odds_gap_ratio,ev_delta,ev_delta_ratio
20260621_東京_11,pw01dud002022103546/8A,パラディレーヌ,7,14,原 優介,56,20.2,8,東京,2026-06-21,11,芝,1800,曇,稍重,2026-06-21T06:31:02.657752+00:00,,0,0.0,4,7.0968,34.2694,5.5323,55.4839,0,8,2.4677,35,0,0,4,17.8,20.2,17.8,20.3,0.1238,0.0252,0.0251,8,0,321.8731,1.0116,0.5,0.5769,0.1991,0.3265,0.3763,0.420908,-0.172,0.0,0.0495,0.0495,0.549985,0.32298,0.417755,0.356243,0.463757,0.18,0.249337,20.2,20.89384,21.007598,21.007598,live,0.052109,19.190471,0.039116,0.6235,0.052109,contender,1.052606,1.052606,1.052606,1.088761,1.094689,1.094689,0.807598,0.03998,0.042083,0.03998
20260621_東京_11,pw01dud002022100019/F1,マカナ,1,1,松岡 正海,50,18.8,7,東京,2026-06-21,11,芝,1800,曇,稍重,2026-06-21T06:31:02.657752+00:00,,0,0.0,4,4.5484,33.9919,3.0484,54.5968,0,7,3.9516,35,0,0,4,16,18.8,16,18.8,0.1489,0.0327,0.0326,7,0,321.8731,0.9459,0.4734,0.6694,0.1735,0.5097,0.3266,0.476087,1.5,0.2371,0.0532,0.0532,0.61942,0.40158,0.384375,0.356243,0.463757,0.18,0.481324,18.8,20.041131,19.801648,19.801648,live,0.055733,17.942542,0.042029,0.6235,0.055733,contender,1.047789,1.047789,1.047789,1.116962,1.103614,1.103614,1.001648,0.053279,0.055825,0.053279
20260621_東京_11,pw01dud002022105157/27,ルージュソリテール,8,15,西塚 洸二,55,13.3,6,東京,2026-06-21,11,芝,1800,曇,稍重,2026-06-21T06:31:02.657752+00:00,,0,0.0,4,3.1129,33.9387,4.6935,55.2742,0,6,1.3065,35,0,0,4,11.9,13.3,11.9,13.3,0.1053,0.022,0.0219,6,0,321.8731,1.0664,0.8359,0.6871,0.2708,0.5311,0.3102,0.524738,0.0914,0.4839,0.0752,0.0752,0.50405,0.51397,0.593425,0.356243,0.463757,0.18,0.405496,13.3,13.613578,13.745523,13.745523,live,0.075918,13.172181,0.059409,0.6235,0.075918,contender,1.009704,1.009704,1.009704,1.03351,1.043527,1.043527,0.445523,0.033498,0.033823,0.033498
20260621_東京_11,pw01dud002022101192/6C,エストゥペンダ,3,5,荻野 極,54,8.9,4,東京,2026-06-21,11,芝,1800,曇,稍重,2026-06-21T06:31:02.657752+00:00,,0,0.0,4,2.8065,33.3113,1.3548,55.371,0,4,2.6452,35,0,0,4,8.8,8.9,8.8,8.9,0.0112,0.0021,0.0021,4,0,321.8731,0.9066,0.5237,0.8962,0.3333,0.5218,0.3108,0.560477,0.457,0.4016,0.1124,0.1124,0.749235,0.46563,0.43127,0.356243,0.463757,0.18,0.43452,8.9,9.562996,9.023084,9.023084,live,0.105585,9.471044,0.08878,0.6235,0.109962,contender,0.939706,0.939706,0.939706,1.009709,0.952702,0.952702,0.123084,0.01383,0.012996,0.01383
20260621_東京_11,pw01dud002021103975/7F,セキトバイースト,4,7,浜中 俊,56,10.7,5,東京,2026-06-21,11,芝,1800,曇,稍重,2026-06-21T06:31:02.657752+00:00,,0,0.0,4,8.4032,34.9129,6.871,55.5484,0,5,-1.871,35,0,0,4,11.4,10.7,10.6,11.4,0.0748,-0.0115,-0.0114,5,0,321.8731,0.9275,0.8985,0.3624,0.3266,0.2466,0.2626,0.39448,-0.1505,0.65,0.0935,0.0935,0.271085,0.40098,0.621945,0.356243,0.463757,0.18,0.254633,10.7,10.53807,10.722628,10.722628,live,0.087182,11.470224,0.073845,0.6235,0.091659,contender,0.93285,0.93285,0.93285,0.918733,0.934823,0.934823,0.022628,0.002115,0.001973,0.002115
20260621_東京_11,pw01dud002022106232/E8,ウイントワイライト,1,2,横山 典弘,53,32.2,12,東京,2026-06-21,11,芝,1800,曇,稍重,2026-06-21T06:31:02.657752+00:00,,0,0.0,4,9.4355,32.9194,3.5161,55,0,12,8.4839,35,0,0,4,23.3,32.2,23.3,32.2,0.2764,0.0715,0.0712,12,2,321.8731,1.127,0.1964,1.0269,0.1512,0.3383,0.4349,0.502691,0.6667,0.4669,0.0311,0.0311,0.948745,0.25379,0.26117,0.356243,0.463757,0.18,0.377823,32.2,35.161381,37.014897,37.014897,live,0.027793,35.980314,0.024539,0.7835,0.027793,outsider,0.894934,0.894934,0.894934,0.977239,1.028754,1.028754,4.814897,0.149531,0.13382,0.149531
20260621_東京_11,pw01dud002020110060/EC,ホールネス,5,10,三浦 皇成,55,28.9,11,東京,2026-06-21,11,芝,1800,曇,稍重,2026-06-21T06:31:02.657752+00:00,,0,0.0,4,8.7419,35.8323,8.5484,55.1774,0,11,2.4516,35,0,0,4,25.2,28.9,25.2,28.9,0.128,0.0275,0.0274,11,0,321.8731,0.8713,0.722,0.0559,0.2039,0.2521,0.1304,0.285423,0.0591,0.0,0.0346,0.0346,0.133635,0.33162,0.466805,0.356243,0.463757,0.18,0.178686,28.9,31.58681,30.362249,30.362249,live,0.030507,32.779516,0.02734,0.7835,0.030507,outsider,0.881648,0.881648,0.881648,0.963614,0.926257,0.926257,1.462249,0.050597,0.044609,0.050597
20260621_東京_11,pw01dud002022104812/10,テリオスララ,5,9,F.ゴンサルベス,54,22.9,10,東京,2026-06-21,11,芝,1800,曇,稍重,2026-06-21T06:31:02.657752+00:00,,0,0.0,4,7,34.5435,5.2742,54.7742,0,10,4.7258,35,0,0,4,27.8,22.9,22.9,27.8,0.214,-0.033,-0.0329,10,-2,321.8731,0.9901,0.8994,0.4855,0.2139,0.3512,0.4691,0.439728,0.2581,0.096,0.0437,0.0437,0.350785,0.41965,0.667485,0.356243,0.463757,0.18,0.317106,22.9,25.190756,22.508007,22.508007,live,0.038218,26.165614,0.034504,0.7835,0.038218,outsider,0.875194,0.875194,0.875194,0.962743,0.860213,0.860213,-0.391993,-0.017118,-0.014981,-0.017118
20260621_東京_11,pw01dud002022104885/D9,テレサ,6,11,戸崎 圭太,55,22.8,9,東京,2026-06-21,11,芝,1800,曇,稍重,2026-06-21T06:31:02.657752+00:00,,0,0.0,4,6.2258,35.0258,5.4839,54.7258,0,9,3.5161,35,0,0,4,22.1,22.8,22.1,22.8,0.0307,0.0059,0.0059,9,0,321.8731,0.9893,0.8112,0.3247,0.1785,0.286,0.1833,0.360145,-0.0914,0.0,0.0439,0.0439,0.277135,0.35879,0.527925,0.356243,0.463757,0.18,0.201361,22.8,25.126955,23.328979,23.328979,live,0.038174,26.195734,0.034655,0.7835,0.038174,outsider,0.870371,0.870371,0.870371,0.9592,0.890564,0.890564,0.528979,0.023201,0.020193,0.023201
20260621_東京_11,pw01dud002021104894/EA,セントメモリーズ,8,16,木幡 巧也,52,185.2,16,東京,2026-06-21,11,芝,1800,曇,稍重,2026-06-21T06:31:02.657752+00:00,,0,0.0,4,15,35.6984,10.0806,53.129,0,16,5.9194,35,0,0,4,131.1,185.2,131.1,185.2,0.2921,0.0772,0.0769,16,0,321.8731,1.0137,0.3624,0.1005,0.4495,0.2591,0.2782,0.322038,0.3763,0.0,0.0054,0.0054,0.288485,0.33688,0.350205,0.356243,0.463757,0.18,0.230048,185.2,204.971532,205.708305,205.708305,live,0.004621,216.384024,0.004266,0.9235,0.004621,longshot,0.855886,0.855886,0.855886,0.947258,0.950663,0.950663,20.508305,0.110736,0.094777,0.110736
