race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,target_weather,target_track_condition,target_conditions_captured_at,horse_country,is_overseas_race,country_value_score,history_count,avg_finish,avg_last3f,avg_popularity,avg_weight,avg_odds,current_popularity_score,popularity_gap,days_since_last_run,odds_history_trend,odds_volatility,odds_snapshot_count,odds_first,odds_latest,odds_min,odds_max,odds_range_ratio,odds_slope_recent,odds_slope_full,popularity_latest,popularity_change,odds_span_minutes,speed_score,front_rate,closing_strength,consistency,ability_score,course_score,pace_score,weight_score,jockey_score,market_support,market_support_base,pace_high,pace_mid,pace_slow,pace_mix_high,pace_mix_mid,pace_mix_slow,model_score,win_odds,predicted_odds_structural,predicted_odds_live,predicted_odds,predicted_odds_source,win_prob,fair_odds,market_prob,market_shrink_used,probability_cap,probability_band,ev,ev_win,ev_current,ev_predicted_structural,ev_predicted_live,ev_predicted,odds_gap,odds_gap_ratio,ev_delta,ev_delta_ratio
20260621_阪神_11,pw01dud002021105119/41,キープカルム,4,7,坂井 瑠星,58,17.9,8,阪神,2026-06-21,11,芝,1600,晴,稍重,2026-06-21T06:27:43.050622+00:00,,0,0.0,4,6.6452,33.2935,4.6452,57.3145,0,8,3.3548,35,0,0,2,16.8,17.9,16.8,17.9,0.0615,0.0123,0.0123,8,-1,319.5289,1.1076,0.5076,0.9022,0.4,0.2985,0.1892,0.528341,-0.2285,0.325,0.0559,0.0559,0.75877,0.37077,0.39594,0.394433,0.425567,0.18,0.250821,17.9,18.774403,17.836161,18.774403,structural,0.059509,16.804263,0.044389,0.607,0.059509,contender,1.065206,1.065206,1.065206,1.11724,1.061407,1.11724,0.874403,0.048849,0.052035,0.048849
20260621_阪神_11,pw01dud002020103428/07,スイープアワーズ,8,17,国分 優作,57,15.4,7,阪神,2026-06-21,11,芝,1600,晴,稍重,2026-06-21T06:27:43.050622+00:00,,0,0.0,4,2.7419,33.5048,8.629,57.4677,0,7,-1.629,35,0,0,2,11,15.4,11,15.4,0.2857,0.0751,0.0751,7,2,319.5289,1.0943,0.5313,0.8317,0.2651,0.5589,0.6199,0.569159,0.1559,0.3226,0.0649,0.0649,0.70465,0.46524,0.51795,0.394433,0.425567,0.18,0.458657,15.4,14.611406,17.248,14.611406,structural,0.0688,14.534914,0.051595,0.607,0.0688,contender,1.059518,1.059518,1.059518,1.005263,1.18666,1.005263,-0.788594,-0.051207,-0.054255,-0.051207
20260621_阪神_11,pw01dud002022105836/EB,ファンダム,5,9,北村 宏司,57,11.7,6,阪神,2026-06-21,11,芝,1600,晴,稍重,2026-06-21T06:27:43.050622+00:00,,0,0.0,4,9.0323,34.3484,1.8065,57,0,6,4.1935,35,0,0,2,11.3,11.7,11.3,11.7,0.0342,0.0066,0.0066,6,0,319.5289,1.1289,0.7685,0.5505,0.1921,0.3045,0.1946,0.419601,-0.0,0.2621,0.0855,0.0855,0.43885,0.36358,0.50987,0.394433,0.425567,0.18,0.253498,11.7,12.81179,11.89742,12.81179,structural,0.083012,12.046516,0.067912,0.607,0.086602,contender,0.971235,0.971235,0.971235,1.063527,0.987623,1.063527,1.11179,0.095025,0.092291,0.095025
20260621_阪神_11,pw01dud002021105454/D5,ブエナオンダ,2,4,田口 貫太,58,48.1,12,阪神,2026-06-21,11,芝,1600,晴,稍重,2026-06-21T06:27:43.050622+00:00,,0,0.0,4,9.0806,34.0242,7.6613,57.4113,0,12,4.3387,35,0,0,2,37.1,48.1,37.1,48.1,0.2287,0.0557,0.0557,12,0,319.5289,1.0648,0.5664,0.6586,0.156,0.3117,0.2,0.434247,-0.1962,0.2718,0.0208,0.0208,0.57985,0.31593,0.39492,0.394433,0.425567,0.18,0.236938,48.1,51.41032,51.34209,51.41032,structural,0.019893,50.267749,0.016519,0.767,0.019893,outsider,0.956876,0.956876,0.956876,1.02273,1.021372,1.02273,3.31032,0.068822,0.065854,0.068822
20260621_阪神_11,pw01dud002019104838/4B,サイルーン,4,8,岩田 望来,57,10.9,4,阪神,2026-06-21,11,芝,1600,晴,稍重,2026-06-21T06:27:43.050622+00:00,,0,0.0,4,5.4516,35.0194,6.8871,57,0,4,-2.8871,35,0,0,2,8.3,10.9,8.3,10.9,0.2385,0.0588,0.0588,4,0,319.5289,0.9437,0.5579,0.3269,0.1856,0.3764,0.1758,0.365852,-0.0,0.0621,0.0917,0.0917,0.36722,0.35546,0.387425,0.394433,0.425567,0.18,0.257208,10.9,10.441108,11.558246,10.441108,structural,0.087168,11.472135,0.072896,0.607,0.092455,contender,0.950128,0.950128,0.950128,0.910128,1.007506,0.910128,-0.458892,-0.0421,-0.040001,-0.0421
20260621_阪神_11,pw01dud002020100680/64,エルトンバローズ,5,10,松若 風馬,58,11.5,5,阪神,2026-06-21,11,芝,1600,晴,稍重,2026-06-21T06:27:43.050622+00:00,,0,0.0,4,9.7419,34.329,7.9516,57.6774,0,5,-2.9516,35,0,0,2,12.8,11.5,11.5,12.8,0.113,-0.0191,-0.0191,5,-2,319.5289,1.0388,0.7751,0.557,0.238,0.2504,0.1661,0.41562,-0.1075,0.0,0.087,0.087,0.440765,0.35162,0.511835,0.394433,0.425567,0.18,0.196761,11.5,11.020574,11.048629,11.020574,structural,0.082198,12.165686,0.069093,0.607,0.087787,contender,0.945282,0.945282,0.945282,0.905874,0.90818,0.905874,-0.479426,-0.041689,-0.039408,-0.041689
20260621_阪神_11,pw01dud002019105239/87,ショウナンアデイブ,7,15,池添 謙一,57,28.1,11,阪神,2026-06-21,11,芝,1600,晴,稍重,2026-06-21T06:27:43.050622+00:00,,0,0.0,4,5.0968,34.1016,13.8387,55.4194,0,11,-2.8387,35,0,0,2,26.9,28.1,26.9,28.1,0.0427,0.0084,0.0084,11,0,319.5289,1.0482,0.8321,0.6328,0.1921,0.3684,0.179,0.456385,-0.5269,0.4718,0.0356,0.0356,0.470085,0.40825,0.54017,0.394433,0.425567,0.18,0.252674,28.1,27.475284,28.337716,27.475284,structural,0.032337,30.924762,0.028276,0.767,0.032337,outsider,0.908657,0.908657,0.908657,0.888456,0.916344,0.888456,-0.624716,-0.022232,-0.020201,-0.022232
20260621_阪神_11,pw01dud002021105618/C3,スマートワイス,1,1,川田 将雅,57,23.8,10,阪神,2026-06-21,11,芝,1600,晴,稍重,2026-06-21T06:27:43.050622+00:00,,0,0.0,4,4.3226,34.121,1.9032,58,0,10,8.0968,35,0,0,2,19.5,23.8,19.5,23.8,0.1807,0.0414,0.0414,10,0,319.5289,1.0926,0.815,0.6263,0.2227,0.4501,0.4242,0.489289,0.3333,0.1129,0.042,0.042,0.471845,0.45486,0.608915,0.394433,0.425567,0.18,0.367452,23.8,25.919967,25.111858,25.919967,structural,0.037909,26.378898,0.033385,0.767,0.037909,outsider,0.902236,0.902236,0.902236,0.982602,0.951968,0.982602,2.119967,0.089074,0.080366,0.089074
20260621_阪神_11,pw01dud002021105564/16,カズミクラーシュ,6,12,幸 英明,57,19.3,9,阪神,2026-06-21,11,芝,1600,晴,稍重,2026-06-21T06:27:43.050622+00:00,,0,0.0,4,5.5968,34.3242,6.129,56.8226,0,9,2.871,35,0,0,2,14.9,19.3,14.9,19.3,0.228,0.0555,0.0555,9,1,319.5289,1.0464,0.8273,0.5586,0.1256,0.479,0.2,0.451523,-0.0591,0.3242,0.0518,0.0518,0.423535,0.44264,0.533855,0.394433,0.425567,0.18,0.328848,19.3,21.119832,21.109718,21.119832,structural,0.04607,21.705973,0.041169,0.767,0.04607,outsider,0.889156,0.889156,0.889156,0.972996,0.97253,0.972996,1.819832,0.094292,0.08384,0.094292
20260621_阪神_11,pw01dud002022110114/B1,シンフォーエバー,3,6,吉村 誠之助,57,181.9,18,阪神,2026-06-21,11,芝,1600,晴,稍重,2026-06-21T06:27:43.050622+00:00,,0,0.0,4,13.8548,34.9806,11.8871,56.7742,0,18,6.1129,35,0,0,2,122.3,181.9,122.3,181.9,0.3277,0.0915,0.0915,18,0,319.5289,1.0213,0.703,0.3398,0.4495,0.2623,0.1707,0.392107,-0.0753,0.0,0.0055,0.0055,0.32482,0.4066,0.505285,0.394433,0.425567,0.18,0.191437,181.9,199.633251,200.477571,199.633251,structural,0.004778,209.286098,0.004368,0.907,0.004778,longshot,0.869145,0.869145,0.869145,0.953877,0.957912,0.953877,17.733251,0.097489,0.084732,0.097489
