race_id,horse_id,horse_name,horse_number,current_odds,current_popularity,captured_at
20260628_函館_11,pw01dud002017104756/3C,アラタ,13,21.3,12,2026-06-28T16:00:23.719648+00:00
20260628_函館_11,pw01dud002018104609/A0,チャックネイト,7,45.9,15,2026-06-28T16:00:23.719648+00:00
20260628_函館_11,pw01dud002019100318/7A,ケイアイセナ,8,8.3,4,2026-06-28T16:00:23.719648+00:00
20260628_函館_11,pw01dud002019101422/F8,サンストックトン,6,35.2,13,2026-06-28T16:00:23.719648+00:00
20260628_函館_11,pw01dud002019104756/54,オニャンコポン,9,43.1,14,2026-06-28T16:00:23.719648+00:00
20260628_函館_11,pw01dud002019104878/8B,デビットバローズ,15,12.4,8,2026-06-28T16:00:23.719648+00:00
20260628_函館_11,pw01dud002021101134/66,ピースワンデュック,3,20.1,10,2026-06-28T16:00:23.719648+00:00
20260628_函館_11,pw01dud002022100699/97,イガッチ,5,6.9,2,2026-06-28T16:00:23.719648+00:00
20260628_函館_11,pw01dud002022102296/58,ケリフレッドアスク,10,16.3,9,2026-06-28T16:00:23.719648+00:00
20260628_函館_11,pw01dud002022104218/9C,ファウストラーゼン,2,10.7,7,2026-06-28T16:00:23.719648+00:00
20260628_函館_11,pw01dud002022104772/3F,マジックサンズ,4,8.5,6,2026-06-28T16:00:23.719648+00:00
20260628_函館_11,pw01dud002022104813/83,ジュタ,11,8.4,5,2026-06-28T16:00:23.719648+00:00
20260628_函館_11,pw01dud002022105073/4A,エコロディノス,12,7.5,3,2026-06-28T16:00:23.719648+00:00
20260628_函館_11,pw01dud002022105175/61,フィーリウス,14,6,1,2026-06-28T16:00:23.719648+00:00
20260628_函館_11,pw01dud002022106633/1F,バルナバ,1,20.9,11,2026-06-28T16:00:23.719648+00:00
