race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,target_weather,target_track_condition,target_conditions_captured_at,horse_country,history_count
20260628_函館_11,pw01dud002017104756/3C,アラタ,7,13,大野 拓弥,58,21.3,12,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
20260628_函館_11,pw01dud002018104609/A0,チャックネイト,4,7,鮫島 克駿,58,45.9,15,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
20260628_函館_11,pw01dud002019100318/7A,ケイアイセナ,5,8,武 豊,57.5,8.3,4,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
20260628_函館_11,pw01dud002019101422/F8,サンストックトン,4,6,松本 大輝,54,35.2,13,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
20260628_函館_11,pw01dud002019104756/54,オニャンコポン,5,9,横山 琉人,54,43.1,14,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
20260628_函館_11,pw01dud002019104878/8B,デビットバローズ,8,15,岩田 望来,58,12.4,8,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
20260628_函館_11,pw01dud002021101134/66,ピースワンデュック,2,3,佐々木 大輔,55,20.1,10,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
20260628_函館_11,pw01dud002022100699/97,イガッチ,3,5,浜中 俊,55,6.9,2,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
20260628_函館_11,pw01dud002022102296/58,ケリフレッドアスク,6,10,北村 友一,55,16.3,9,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
20260628_函館_11,pw01dud002022104218/9C,ファウストラーゼン,2,2,小林 美駒,56,10.7,7,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
20260628_函館_11,pw01dud002022104772/3F,マジックサンズ,3,4,横山 和生,58,8.5,6,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
20260628_函館_11,pw01dud002022104813/83,ジュタ,6,11,坂井 瑠星,56,8.4,5,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
20260628_函館_11,pw01dud002022105073/4A,エコロディノス,7,12,池添 謙一,57,7.5,3,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
20260628_函館_11,pw01dud002022105175/61,フィーリウス,8,14,丹内 祐次,56,6,1,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
20260628_函館_11,pw01dud002022106633/1F,バルナバ,1,1,斎藤 新,55,20.9,11,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5
