race_id,bet_type,combination,odds,odds_min,odds_max,captured_at,source_cname
20260628_函館_11,win,1,20.9,,,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,place,1,4.8,4.8,5.9,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,win,2,10.7,,,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,place,2,3.6,3.6,4.4,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,win,3,20.1,,,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,place,3,5.4,5.4,6.5,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,win,4,8.5,,,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,place,4,2.8,2.8,3.4,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,win,5,6.9,,,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,place,5,2.1,2.1,2.4,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,win,6,35.2,,,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,place,6,6.1,6.1,7.4,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,win,7,45.9,,,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,place,7,8.1,8.1,9.9,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,win,8,8.3,,,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,place,8,2.8,2.8,3.3,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,win,9,43.1,,,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,place,9,7.0,7.0,8.5,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
20260628_函館_11,win,10,16.3,,,2026-06-28T03:33:35.970869+00:00,pw151ouS302202601061120260628Z/35
