row_id,race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,target_weather,target_track_condition,target_conditions_captured_at,horse_country,run_index,date,race_name,course,distance,position,time,weight,jockey,pace,last_3f,track_condition,weather,passing_order,odds,popularity
row_5d1feb2e576ac50bd018,20260628_函館_11,pw01dud002017104756/3C,アラタ,7,13,大野 拓弥,58,21.3,12,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,1,2026年3月15日,金鯱賞,中京,2000,10,118.7,57,横山 典弘,,34.3,良,,8,,14
row_7510a5a7add546244395,20260628_函館_11,pw01dud002017104756/3C,アラタ,7,13,大野 拓弥,58,21.3,12,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,2,2025年12月28日,有馬記念,中山,2500,15,152.8,58,大野 拓弥,,35.9,良,,12,,15
row_e8d0a5786f4508000b4a,20260628_函館_11,pw01dud002017104756/3C,アラタ,7,13,大野 拓弥,58,21.3,12,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,3,2025年11月22日,福島記念,福島,2000,4,120.4,58.5,横山 典弘,,34.3,良,,3,,9
row_339ba329e28e20a5c9da,20260628_函館_11,pw01dud002017104756/3C,アラタ,7,13,大野 拓弥,58,21.3,12,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2025年8月17日,札幌記念,札幌,2000,3,121.8,58,浜中 俊,,35,稍重,,10,,13
row_3aca16735912f9bb5b3f,20260628_函館_11,pw01dud002017104756/3C,アラタ,7,13,大野 拓弥,58,21.3,12,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2025年5月4日,天皇賞(春),京都,3200,15,200.4,,大野 拓弥,,36,良,,,,13
row_02f0b8a2ae676adfd34f,20260628_函館_11,pw01dud002018104609/A0,チャックネイト,4,7,鮫島 克駿,58,45.9,15,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,1,2026年3月28日,日経賞,中山,2500,8,151.7,57,大野 拓弥,,36.5,良,,3,,8
row_58d054ad33d22333ef63,20260628_函館_11,pw01dud002018104609/A0,チャックネイト,4,7,鮫島 克駿,58,45.9,15,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,2,2026年1月25日,AJCC,中山,2200,13,132.2,57,R.キング,,35.3,良,,13,,8
row_fa30f97d948d3f6d3b88,20260628_函館_11,pw01dud002018104609/A0,チャックネイト,4,7,鮫島 克駿,58,45.9,15,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,3,2025年12月6日,ステイヤーズ,中山,3600,7,227.6,57,佐々木 大輔,,33.8,良,,9,,4
row_054db1bcd6abb99122b8,20260628_函館_11,pw01dud002018104609/A0,チャックネイト,4,7,鮫島 克駿,58,45.9,15,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2025年6月15日,宝塚記念,阪神,2200,5,131.8,58,D.レーン,,35.8,稍重,,10,,14
row_d83e38c0aeaf7bdb5401,20260628_函館_11,pw01dud002018104609/A0,チャックネイト,4,7,鮫島 克駿,58,45.9,15,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2025年3月29日,日経賞,中山,2500,2,156.1,,J.モレイラ,,36,稍重,,,,5
row_7e8c5266ac18e60637c1,20260628_函館_11,pw01dud002019100318/7A,ケイアイセナ,5,8,武 豊,57.5,8.3,4,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,1,2026年4月4日,ダービーCT,中山,1600,10,94.3,57.5,津村 明秀,,36,稍重,,7,,3
row_b743976d4a986f9444fd,20260628_函館_11,pw01dud002019100318/7A,ケイアイセナ,5,8,武 豊,57.5,8.3,4,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,2,2026年2月22日,小倉大賞典,小倉,1800,2,105.3,57,藤岡 佑介,,35.2,良,,1,,1
row_34ec059709e31a710dea,20260628_函館_11,pw01dud002019100318/7A,ケイアイセナ,5,8,武 豊,57.5,8.3,4,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,3,2026年1月4日,日刊中山金杯,中山,2000,12,121,57,吉田 隼人,,35.2,良,,5,,3
row_50b57d91e86ef6f5bfd4,20260628_函館_11,pw01dud002019100318/7A,ケイアイセナ,5,8,武 豊,57.5,8.3,4,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2025年8月17日,札幌記念,札幌,2000,4,121.8,58,吉田 隼人,,37,稍重,,1,,12
row_5fc5b7fd54c2df8c9a58,20260628_函館_11,pw01dud002019100318/7A,ケイアイセナ,5,8,武 豊,57.5,8.3,4,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2025年7月13日,巴賞,函館,1800,1,104.8,,藤岡 佑介,,36,良,,,,2
row_f9efb753662e86353c7f,20260628_函館_11,pw01dud002019101422/F8,サンストックトン,4,6,松本 大輝,54,35.2,13,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,1,2026年4月5日,大阪杯,阪神,2000,12,119.3,58,高杉 吏麒,,35.7,良,,13,,15
row_da18e7f0dddd08833c16,20260628_函館_11,pw01dud002019101422/F8,サンストックトン,4,6,松本 大輝,54,35.2,13,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,2,2026年3月1日,中山記念,中山,1800,9,105.8,57,松岡 正海,,34,良,,11,,13
row_39b52f11f7896ce20080,20260628_函館_11,pw01dud002019101422/F8,サンストックトン,4,6,松本 大輝,54,35.2,13,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,3,2026年1月25日,AJCC,中山,2200,5,131.3,57,松岡 正海,,34.8,良,,7,,16
row_893b0a7f336444402561,20260628_函館_11,pw01dud002019101422/F8,サンストックトン,4,6,松本 大輝,54,35.2,13,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2025年12月6日,鳴尾記念,阪神,1800,7,104.3,57,高杉 吏麒,,34.2,良,,7,,13
row_d375fba244362d2161eb,20260628_函館_11,pw01dud002019101422/F8,サンストックトン,4,6,松本 大輝,54,35.2,13,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2025年10月19日,ブラジルC,東京,2100,11,134.3,,松岡 正海,,36,良,,,,12
row_c405655a1f46a48ac0ac,20260628_函館_11,pw01dud002019104756/54,オニャンコポン,5,9,横山 琉人,54,43.1,14,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,1,2026年5月9日,エプソムC,東京,1800,15,106.3,57,菅原 明良,,33.8,良,,12,,16
row_0b1e8e34fe04c271dcb2,20260628_函館_11,pw01dud002019104756/54,オニャンコポン,5,9,横山 琉人,54,43.1,14,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,2,2026年3月29日,六甲S,阪神,1600,11,93.3,58,亀田 温心,,34.9,良,,7,,7
row_f3b3b4202f4ef4a2a70b,20260628_函館_11,pw01dud002019104756/54,オニャンコポン,5,9,横山 琉人,54,43.1,14,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,3,2026年3月1日,中山記念,中山,1800,11,105.9,57,田辺 裕信,,34.9,良,,2,,10
row_8efc5ec4359f62535cce,20260628_函館_11,pw01dud002019104756/54,オニャンコポン,5,9,横山 琉人,54,43.1,14,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2026年1月12日,ニューイヤー,中山,1600,8,92.8,58,菅原 明良,,34,良,,9,,8
row_1161bc2438ae5b37d783,20260628_函館_11,pw01dud002019104756/54,オニャンコポン,5,9,横山 琉人,54,43.1,14,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2025年12月13日,中日新聞杯,中京,2000,10,118.3,,菅原 明良,,36,良,,,,9
row_d6d09d2d5fc14cb99365,20260628_函館_11,pw01dud002019104878/8B,デビットバローズ,8,15,岩田 望来,58,12.4,8,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,1,2026年4月5日,大阪杯,阪神,2000,8,118.3,58,岩田 望来,,35.4,良,,7,,8
row_9751d70e25e34ec9c03a,20260628_函館_11,pw01dud002019104878/8B,デビットバローズ,8,15,岩田 望来,58,12.4,8,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,2,2025年12月6日,鳴尾記念,阪神,1800,1,103.7,57,岩田 望来,,33.9,良,,4,,2
row_61834c0f4a272d706f1a,20260628_函館_11,pw01dud002019104878/8B,デビットバローズ,8,15,岩田 望来,58,12.4,8,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,3,2025年6月22日,しらさぎS,阪神,1600,5,93.5,57,松山 弘平,,34.4,良,,2,,3
row_c052ee937f4ddd6a8e56,20260628_函館_11,pw01dud002019104878/8B,デビットバローズ,8,15,岩田 望来,58,12.4,8,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2025年5月10日,エプソムC,東京,1800,9,105.1,57,岩田 望来,,35.9,稍重,,4,,5
row_8fc7983ac145726559ca,20260628_函館_11,pw01dud002019104878/8B,デビットバローズ,8,15,岩田 望来,58,12.4,8,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2025年3月9日,大阪城S,阪神,1800,1,104.6,,岩田 望来,,36,良,,,,3
row_0f3d5f17f2d55c71f66f,20260628_函館_11,pw01dud002021101134/66,ピースワンデュック,2,3,佐々木 大輔,55,20.1,10,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,1,2026年4月12日,福島民報杯,福島,2000,14,120.4,57,柴田 善臣,,38.1,良,,3,,1
row_464fa59968ef9ab3d125,20260628_函館_11,pw01dud002021101134/66,ピースワンデュック,2,3,佐々木 大輔,55,20.1,10,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,2,2026年1月31日,白富士S,東京,2000,5,117.7,57,柴田 善臣,,34.4,良,,1,,6
row_f82b1fbedeef605cff24,20260628_函館_11,pw01dud002021101134/66,ピースワンデュック,2,3,佐々木 大輔,55,20.1,10,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,3,2026年1月4日,日刊中山金杯,中山,2000,5,120.6,55,柴田 善臣,,35,良,,1,,5
row_fcfb950a9c8200a618ef,20260628_函館_11,pw01dud002021101134/66,ピースワンデュック,2,3,佐々木 大輔,55,20.1,10,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2025年12月13日,中日新聞杯,中京,2000,6,118.1,55,柴田 善臣,,34.6,良,,1,,4
row_4119f2ffdf38dc077393,20260628_函館_11,pw01dud002021101134/66,ピースワンデュック,2,3,佐々木 大輔,55,20.1,10,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2025年10月25日,カシオペアS,京都,1800,6,105.5,,柴田 善臣,,36,良,,,,1
