race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,target_weather,target_track_condition,target_conditions_captured_at,horse_country,is_overseas_race,country_value_score,history_count,avg_finish,avg_last3f,avg_popularity,avg_weight,avg_odds,current_popularity_score,popularity_gap,days_since_last_run,odds_history_trend,odds_volatility,odds_snapshot_count,odds_first,odds_latest,odds_min,odds_max,odds_range_ratio,odds_slope_recent,odds_slope_full,popularity_latest,popularity_change,odds_span_minutes,speed_score,front_rate,closing_strength,consistency,ability_score,course_score,track_condition_score,pace_score,weight_score,jockey_score,market_support,market_support_base,pace_high,pace_mid,pace_slow,pace_mix_high,pace_mix_mid,pace_mix_slow,relative_front_rank,solo_lead_score,front_competitor_count,model_score,win_odds,predicted_odds_structural,predicted_odds_live,predicted_odds,predicted_odds_source,win_prob,win_prob_mean,win_prob_std,monte_carlo_iterations,monte_carlo_seed,luck_score_std,fair_odds,market_prob,market_shrink_used,probability_cap,probability_band,ev,ev_win,ev_current,ev_predicted_structural,ev_predicted_live,ev_predicted,odds_gap,odds_gap_ratio,ev_delta,ev_delta_ratio
20260628_福島_11,pw01dud002023105684/7F,クカイリモク,1,2,F.ゴンサルベス,53,13.7,8,福島,2026-06-28,11,芝,1800,晴,良,2026-06-28T03:33:51.970053+00:00,,0,0.0,4,1.4516,34.6048,1,56.1935,0,8,7,35,0,0,2,13.7,13.7,13.7,13.7,0,0,0,8,0,1.1717,0.9427,0.5963,0.4651,0.6667,0.7626,0.4,1.0,0.491321,1.0645,0.1919,0.073,0.073,0.44361,0.587827,0.442576,0.487882,0.332118,0.18,0.133333,0.020253,11,0.564175,13.7,15.119382,13.703326,15.119382,structural,0.074197,0.074197,0.005176,2000,731,0.16,13.47757,0.058029,0.580703,0.078971,contender,1.016504,1.016504,1.016504,1.121818,1.016751,1.121818,1.419382,0.103605,0.105314,0.103605
20260628_福島_11,pw01dud002023103326/94,ディールメーカー,4,8,高杉 吏麒,56,14.6,9,福島,2026-06-28,11,芝,1800,晴,良,2026-06-28T03:33:51.970053+00:00,,0,0.0,5,2.0143,34.44,2.4,56.4571,0,9,6.6,35,0,0,2,14.6,14.6,14.6,14.6,0,0,0,9,0,1.1717,0.9964,0.8462,0.52,0.4616,0.6324,0.3667,1.0,0.501957,0.1524,0.195,0.0685,0.0685,0.39183,0.65529,0.517538,0.487882,0.332118,0.18,0.8,0.090713,11,0.433271,14.6,16.157892,14.603651,16.157892,structural,0.067684,0.067684,0.005782,2000,731,0.16,14.77459,0.054452,0.580703,0.074521,contender,0.988183,0.988183,0.988183,1.093627,0.98843,1.093627,1.557892,0.106705,0.105444,0.106705
20260628_福島_11,pw01dud002023107278/55,バドリナート,8,15,津村 明秀,57,25.1,12,福島,2026-06-28,11,芝,1800,晴,良,2026-06-28T03:33:51.970053+00:00,,0,0.0,5,4.8286,35.4671,4.0857,56.0143,0,12,7.9143,35,0,0,2,25.1,25.1,25.1,25.1,0,0,0,12,0,1.1717,0.8848,0.8454,0.1776,0.2033,0.4238,0.3518,0.94,0.332166,-0.3286,0.165,0.0398,0.0398,0.16955,0.493822,0.474661,0.487882,0.332118,0.18,0.733333,0.090279,11,0.272083,25.1,27.035279,25.104535,27.035279,structural,0.037166,0.037166,0.00039,2000,731,0.16,26.905996,0.031673,0.740703,0.037246,outsider,0.932878,0.932878,0.932878,1.004805,0.933046,1.004805,1.935279,0.077103,0.071927,0.077103
20260628_福島_11,pw01dud002023107352/B4,スペルーチェ,8,16,M.デムーロ,55,18.5,11,福島,2026-06-28,11,芝,1800,晴,良,2026-06-28T03:33:51.970053+00:00,,0,0.0,5,3.8143,34.4243,2.2286,56.6143,0,11,8.7714,35,0,0,2,18.5,18.5,18.5,18.5,0,0,0,11,0,1.1717,1.0723,0.7261,0.5252,0.1679,0.5183,0.3367,0.8979,0.432414,0.5381,0.3107,0.0541,0.0541,0.437245,0.43821,0.408626,0.487882,0.332118,0.18,0.4,0.044128,11,0.408406,18.5,20.075274,18.503691,20.075274,structural,0.049396,0.049396,0.000733,2000,731,0.16,20.244651,0.042973,0.740703,0.049595,outsider,0.913822,0.913822,0.913822,0.991634,0.914004,0.991634,1.575274,0.08515,0.077812,0.08515
20260628_福島_11,pw01dud002023100021/F5,キンググローリー,5,9,石川 裕紀人,54,18,10,福島,2026-06-28,11,芝,1800,晴,良,2026-06-28T03:33:51.970053+00:00,,0,0.0,5,4.7429,36.1057,5.8571,56.7714,0,10,4.1429,35,0,0,2,18,18,18,18,0,0,0,10,0,1.1717,0.8933,0.9261,0.0,0.1765,0.4825,0.4291,0.9529,0.295532,0.9238,0.195,0.0556,0.0556,0.025865,0.562707,0.533492,0.487882,0.332118,0.18,0.933333,0.146512,11,0.406185,18,19.547013,18.003625,19.547013,structural,0.050666,0.050666,0.000694,2000,731,0.16,19.737259,0.044167,0.740703,0.050844,outsider,0.911981,0.911981,0.911981,0.990361,0.912164,0.990361,1.547013,0.085945,0.07838,0.085945
20260628_福島_11,pw01dud002023104885/65,ジーネキング,2,3,菊沢 一樹,56,12.1,7,福島,2026-06-28,11,芝,1800,晴,良,2026-06-28T03:33:51.970053+00:00,,0,0.0,5,9.7857,35.07,9.4429,56.7714,0,7,-2.4429,35,0,0,2,12.1,12.1,12.1,12.1,0,0,0,7,0,1.1717,0.9866,0.7731,0.31,0.2158,0.2819,0.3914,1.0,0.351998,0.2571,0.0,0.0826,0.0826,0.280915,0.402675,0.451161,0.487882,0.332118,0.18,0.6,0.058505,11,0.259994,12.1,12.229474,12.100303,12.229474,structural,0.071245,0.071245,0.007112,2000,731,0.16,14.036134,0.065702,0.580703,0.086908,contender,0.862061,0.862061,0.862061,0.871285,0.862082,0.871285,0.129474,0.0107,0.009224,0.0107
20260628_福島_11,pw01dud002023100681/7B,ガリレア,5,10,石橋 脩,54,94.3,16,福島,2026-06-28,11,芝,1800,晴,良,2026-06-28T03:33:51.970053+00:00,,0,0.0,5,8.3,35.4243,9.0429,56.6143,0,16,6.9571,35,0,0,2,94.3,94.3,94.3,94.3,0,0,0,16,0,1.1717,0.9683,0.7378,0.1919,0.2417,0.2648,0.3814,1.0,0.307143,0.8714,0.4736,0.0106,0.0106,0.216505,0.370348,0.436193,0.487882,0.332118,0.18,0.466667,0.047338,11,0.322627,94.3,104.200831,94.323202,104.200831,structural,0.009103,0.009103,0,2000,731,0.16,109.858214,0.008431,0.880703,0.009103,longshot,0.858379,0.858379,0.858379,0.948503,0.85859,0.948503,9.900831,0.104993,0.090124,0.104993
20260628_福島_11,pw01dud002023103386/F4,ルージュボヤージュ,1,1,北村 宏司,52,9.2,5,福島,2026-06-28,11,芝,1800,晴,良,2026-06-28T03:33:51.970053+00:00,,0,0.0,5,2.4286,34.9414,2.5143,55,0,5,2.4857,35,0,0,2,9.2,9.2,9.2,9.2,0,0,0,5,0,1.1717,0.847,0.85,0.3529,0.3379,0.5644,0.4681,1.0,0.435202,1.0,0.225,0.1087,0.1087,0.281885,0.611068,0.526271,0.487882,0.332118,0.18,0.866667,0.092805,11,0.483258,9.2,10.200712,9.202345,10.200712,structural,0.092936,0.092936,0.008801,2000,731,0.16,10.760105,0.086413,0.580703,0.112291,contender,0.85501,0.85501,0.85501,0.948012,0.855228,0.948012,1.000712,0.108773,0.093002,0.108773
20260628_福島_11,pw01dud002023101569/B1,サイモンシャリオ,2,4,田口 貫太,52,67.2,15,福島,2026-06-28,11,芝,1800,晴,良,2026-06-28T03:33:51.970053+00:00,,0,0.0,5,3.0714,34.84,3.4571,56.7714,0,15,11.5429,35,0,0,2,67.2,67.2,67.2,67.2,0,0,0,15,0,1.1717,0.9176,0.6336,0.3867,0.3503,0.503,0.4638,1.0,0.402814,1.5,0.11,0.0149,0.0149,0.379595,0.423815,0.427002,0.487882,0.332118,0.18,0.2,0.025333,11,0.47123,67.2,74.734515,67.217656,74.734515,structural,0.012625,0.012625,0,2000,731,0.16,79.20822,0.01183,0.880703,0.012625,longshot,0.848397,0.848397,0.848397,0.94352,0.84862,0.94352,7.534515,0.112121,0.095123,0.112121
20260628_福島_11,pw01dud002023103907/0D,スカイスプレンダー,7,14,戸崎 圭太,55,9.5,6,福島,2026-06-28,11,芝,1800,晴,良,2026-06-28T03:33:51.970053+00:00,,0,0.0,5,2.2,34.53,1.2857,56.2571,0,6,4.7143,35,0,0,2,9.5,9.5,9.5,9.5,0,0,0,6,0,1.1717,0.8262,0.7643,0.49,0.4049,0.5678,0.3581,1.0,0.462263,0.419,0.3957,0.1053,0.1053,0.400995,0.549657,0.467079,0.487882,0.332118,0.18,0.533333,0.055496,11,0.440384,9.5,10.974413,9.503455,10.974413,structural,0.08923,0.08923,0.008044,2000,731,0.16,11.207014,0.083684,0.580703,0.108922,contender,0.847683,0.847683,0.847683,0.979245,0.847992,0.979245,1.474413,0.155201,0.131562,0.155201
