race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,target_weather,target_track_condition,target_conditions_captured_at,horse_country,is_overseas_race,country_value_score,history_count,avg_finish,avg_last3f,avg_popularity,avg_weight,avg_odds,current_popularity_score,popularity_gap,days_since_last_run,odds_history_trend,odds_volatility,odds_snapshot_count,odds_first,odds_latest,odds_min,odds_max,odds_range_ratio,odds_slope_recent,odds_slope_full,popularity_latest,popularity_change,odds_span_minutes,speed_score,front_rate,closing_strength,consistency,ability_score,course_score,track_condition_score,pace_score,weight_score,jockey_score,market_support,market_support_base,pace_high,pace_mid,pace_slow,pace_mix_high,pace_mix_mid,pace_mix_slow,relative_front_rank,solo_lead_score,front_competitor_count,model_score,win_odds,predicted_odds_structural,predicted_odds_live,predicted_odds,predicted_odds_source,win_prob,win_prob_mean,win_prob_std,monte_carlo_iterations,monte_carlo_seed,luck_score_std,fair_odds,market_prob,market_shrink_used,probability_cap,probability_band,ev,ev_win,ev_current,ev_predicted_structural,ev_predicted_live,ev_predicted,odds_gap,odds_gap_ratio,ev_delta,ev_delta_ratio
20260705_函館_11,pw01dud002020106873/A9,オウギノカナメ,1,1,丹内 祐次,57,19.7,8,函館,2026-07-05,11,ダート,1700,曇,良,2026-07-05T04:08:53.457223+00:00,,0,0.0,5,8.1,36.9729,7.1,55.4714,0,8,0.9,35,0,0,1,19.7,19.7,19.7,19.7,0,0,0,8,0,0,0.8351,0.8143,0.0,0.1603,0.2681,0.334,0.7843,0.274995,-0.5095,0.055,0.0508,0.0508,0.064995,0.42946,0.459111,0.438458,0.381542,0.18,0.8,0.12923,7,0.173097,19.7,19.305181,19.7,19.305181,structural,0.056633,0.056633,0.001589,2000,731,0.16,17.657682,0.040282,0.58,0.057079,contender,1.115662,1.115662,1.115662,1.093302,1.115662,1.093302,-0.394819,-0.020042,-0.02236,-0.020042
20260705_函館_11,pw01dud002021103717/A3,レヴォントゥレット,6,6,鮫島 克駿,58,17,7,函館,2026-07-05,11,ダート,1700,曇,良,2026-07-05T04:08:53.457223+00:00,,0,0.0,5,8.7429,37.4071,6.6,56.8143,0,7,0.4,35,0,0,1,17,17,17,17,0,0,0,7,0,0,0.6712,0.884,0.0,0.2063,0.1845,0.2793,0.6014,0.273762,-0.3952,0.0,0.0588,0.0588,0.0406,0.437975,0.493636,0.438458,0.381542,0.18,0.9,0.196329,7,0.135834,17,16.711619,17,16.711619,structural,0.063146,0.063146,0.002795,2000,731,0.16,15.836275,0.04668,0.58,0.064364,contender,1.073485,1.073485,1.073485,1.055275,1.073485,1.055275,-0.288381,-0.016964,-0.01821,-0.016964
20260705_函館_11,pw01dud002018100664/05,ホールシバン,5,5,秋山 稔樹,58,61.4,11,函館,2026-07-05,11,ダート,1700,曇,良,2026-07-05T04:08:53.457223+00:00,,0,0.0,5,8.5429,37.7257,8.6,57.0857,0,11,2.4,35,0,0,1,61.4,61.4,61.4,61.4,0,0,0,11,0,0,0.6878,0.4143,0.0,0.2693,0.1959,0.3831,0.9657,0.22394,-0.3048,0.65,0.0163,0.0163,0.204995,0.20783,0.304235,0.438458,0.381542,0.18,0,0.011723,7,0.201314,61.4,63.411622,61.4,63.411622,structural,0.016912,0.016912,0,2000,731,0.16,59.128639,0.012924,0.74,0.016912,outsider,1.038414,1.038414,1.038414,1.072435,1.038414,1.072435,2.011622,0.032763,0.034021,0.032763
20260705_函館_11,pw01dud002022104877/AF,カナルビーグル,7,9,横山 武史,57,10.2,6,函館,2026-07-05,11,ダート,1700,曇,良,2026-07-05T04:08:53.457223+00:00,,0,0.0,5,2.6143,36.9186,4.1714,55.9,0,6,1.8286,35,0,0,1,10.2,10.2,10.2,10.2,0,0,0,6,0,0,0.6555,0.7202,0.0,0.3645,0.4924,0.3038,0.67,0.310239,-0.3667,0.195,0.098,0.098,0.09793,0.496115,0.433401,0.438458,0.381542,0.18,0.5,0.073478,7,0.297002,10.2,10.585011,10.2,10.585011,structural,0.097326,0.097326,0.005996,2000,731,0.16,10.274717,0.0778,0.58,0.101552,contender,0.992728,0.992728,0.992728,1.0302,0.992728,1.0302,0.385011,0.037746,0.037472,0.037746
20260705_函館_11,pw01dud002021104824/7A,アスクデビューモア,7,8,岩田 康誠,57,29.1,10,函館,2026-07-05,11,ダート,1700,曇,良,2026-07-05T04:08:53.457223+00:00,,0,0.0,5,6.7143,37.6386,8.3143,56.7714,0,10,1.6857,35,0,0,1,29.1,29.1,29.1,29.1,0,0,0,10,0,0,0.6398,0.4739,0.0,0.2033,0.2776,0.3419,0.8414,0.232845,-0.0762,0.5029,0.0344,0.0344,0.184135,0.25295,0.308883,0.438458,0.381542,0.18,0.1,0.016763,7,0.239977,29.1,30.679532,29.1,30.679532,structural,0.032392,0.032392,0.000021,2000,731,0.16,30.871384,0.02727,0.74,0.032393,outsider,0.942621,0.942621,0.942621,0.993785,0.942621,0.993785,1.579532,0.054279,0.051165,0.054279
20260705_函館_11,pw01dud002019101324/AD,テーオードレフォン,3,3,古川 吉洋,59,28.7,9,函館,2026-07-05,11,ダート,1700,曇,良,2026-07-05T04:08:53.457223+00:00,,0,0.0,5,10.1286,37.8257,9.2429,57.4143,0,9,-0.2429,35,0,0,1,28.7,28.7,28.7,28.7,0,0,0,9,0,0,0.7085,0.6908,0.0,0.1657,0.2093,0.4493,0.7479,0.241904,-0.5286,0.0,0.0348,0.0348,0.10822,0.308765,0.425819,0.438458,0.381542,0.18,0.4,0.061596,7,0.151401,28.7,29.209851,28.7,29.209851,structural,0.0328,0.0328,0,2000,731,0.16,30.488052,0.02765,0.74,0.0328,outsider,0.941352,0.941352,0.941352,0.958075,0.941352,0.958075,0.509851,0.017765,0.016723,0.017765
20260705_函館_11,pw01dud002021104416/8C,ワイドブリザード,8,11,浜中 俊,57,8.4,5,函館,2026-07-05,11,ダート,1700,曇,良,2026-07-05T04:08:53.457223+00:00,,0,0.0,5,5.0143,37.2557,4.5,56.8571,0,5,0.5,35,0,0,1,8.4,8.4,8.4,8.4,0,0,0,5,0,0,0.7258,0.9143,0.0,0.232,0.342,0.3831,0.9657,0.313921,-0.0476,0.085,0.119,0.119,0.029995,0.531945,0.543389,0.438458,0.381542,0.18,1,0.235472,7,0.264773,8.4,8.703109,8.4,8.703109,structural,0.11089,0.11089,0.009143,2000,731,0.16,9.01797,0.094471,0.58,0.120814,contender,0.931473,0.931473,0.931473,0.965085,0.931473,0.965085,0.303109,0.036084,0.033612,0.036084
20260705_函館_11,pw01dud002021103306/5C,コトホドサヨウニ,8,10,佐々木 大輔,58,5.5,4,函館,2026-07-05,11,ダート,1700,曇,良,2026-07-05T04:08:53.457223+00:00,,0,0.0,5,5.5,37.2857,3.9714,56.6571,0,4,0.0286,35,0,0,1,5.5,5.5,5.5,5.5,0,0,0,4,0,0,0.7418,0.6479,0.0,0.2258,0.351,0.368,0.87,0.260132,-0.4476,0.1993,0.1818,0.1818,0.123235,0.354035,0.394553,0.438458,0.381542,0.18,0.3,0.047617,7,0.242513,5.5,6.190119,5.5,6.190119,structural,0.134978,0.134978,0.01781,2000,731,0.16,7.408609,0.144283,0.38,0.210482,favorite,0.74238,0.74238,0.74238,0.835531,0.74238,0.835531,0.690119,0.125476,0.093151,0.125476
20260705_函館_11,pw01dud002022105028/39,プロミストジーン,4,4,池添 謙一,56,5.2,3,函館,2026-07-05,11,ダート,1700,曇,良,2026-07-05T04:08:53.457223+00:00,,0,0.0,5,2.9571,36.11,6.7857,55,0,3,-3.7857,35,0,0,1,5.2,5.2,5.2,5.2,0,0,0,3,0,0,0.5563,0.5466,0.0,0.4142,0.4011,0.3553,0.8929,0.284307,-0.3333,0.07,0.1923,0.1923,0.15869,0.38598,0.374781,0.438458,0.381542,0.18,0.2,0.02593,7,0.265705,5.2,5.512797,5.2,5.512797,structural,0.140473,0.140473,0.017306,2000,731,0.16,7.118781,0.152607,0.38,0.221841,favorite,0.730462,0.730462,0.730462,0.774402,0.730462,0.774402,0.312797,0.060153,0.04394,0.060153
20260705_函館_11,pw01dud002021102009/33,ラタフォレスト,2,2,斎藤 新,58,5.1,2,函館,2026-07-05,11,ダート,1700,曇,良,2026-07-05T04:08:53.457223+00:00,,0,0.0,5,5.6429,37.2286,5.4714,56.5286,0,2,-3.4714,35,0,0,1,5.1,5.1,5.1,5.1,0,0,0,2,0,0,0.7605,0.7479,0.0,0.2095,0.3663,0.3724,0.8657,0.282549,-0.4905,0.3257,0.1961,0.1961,0.088235,0.43108,0.441038,0.438458,0.381542,0.18,0.6,0.086764,7,0.261538,5.1,5.475842,5.1,5.475842,structural,0.141079,0.141079,0.017872,2000,731,0.16,7.088227,0.1556,0.38,0.225616,favorite,0.719503,0.719503,0.719503,0.772526,0.719503,0.772526,0.375842,0.073695,0.053023,0.073695
20260705_函館_11,pw01dud002022103614/A5,ヒルノハンブルク,6,7,武 豊,57,3.6,1,函館,2026-07-05,11,ダート,1700,曇,良,2026-07-05T04:08:53.457223+00:00,,0,0.0,5,7.1143,37.4957,2.6571,56.7,0,1,-1.6571,35,0,0,1,3.6,3.6,3.6,3.6,0,0,0,1,0,0,0.716,0.795,0.0,0.1438,0.3379,0.3661,0.8971,0.2774,-0.1,0.4464,0.2778,0.2778,0.07175,0.43036,0.454115,0.438458,0.381542,0.18,0.7,0.115099,7,0.298604,3.6,4.265943,3.6,4.265943,structural,0.17337,0.17337,0.018891,2000,731,0.16,5.768004,0.220433,0.38,0.31095,favorite,0.624133,0.624133,0.624133,0.739587,0.624133,0.739587,0.665943,0.184984,0.115455,0.184984
