race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,target_weather,target_track_condition,target_conditions_captured_at,horse_country,is_overseas_race,country_value_score,history_count,avg_finish,avg_last3f,avg_popularity,avg_weight,avg_odds,current_popularity_score,popularity_gap,days_since_last_run,odds_history_trend,odds_volatility,odds_snapshot_count,odds_first,odds_latest,odds_min,odds_max,odds_range_ratio,odds_slope_recent,odds_slope_full,popularity_latest,popularity_change,odds_span_minutes,speed_score,front_rate,closing_strength,consistency,ability_score,course_score,track_condition_score,pace_score,weight_score,jockey_score,market_support,market_support_base,pace_high,pace_mid,pace_slow,pace_mix_high,pace_mix_mid,pace_mix_slow,relative_front_rank,solo_lead_score,front_competitor_count,model_score,win_odds,predicted_odds_structural,predicted_odds_live,predicted_odds,predicted_odds_source,win_prob,win_prob_mean,win_prob_std,monte_carlo_iterations,monte_carlo_seed,luck_score_std,fair_odds,market_prob,market_shrink_used,probability_cap,probability_band,ev,ev_win,ev_current,ev_predicted_structural,ev_predicted_live,ev_predicted,odds_gap,odds_gap_ratio,ev_delta,ev_delta_ratio
20260705_小倉_11,pw01dud002022102057/29,サウンドモリアーナ,7,10,吉村 誠之助,55,15.3,8,小倉,2026-07-05,11,芝,1200,曇,重,2026-07-05T04:03:41.984502+00:00,,0,0.0,5,2.6571,34.0243,5.4714,54.9571,0,8,2.5286,35,0,0,1,15.3,15.3,15.3,15.3,0,0,0,8,0,0,1.2044,0.8891,0.6586,0.244,0.6415,0.27,0.35,0.530794,-0.0143,0.225,0.0654,0.0654,0.466905,0.634298,0.489278,0.462388,0.357612,0.18,0.916667,0.147689,9,0.416861,15.3,15.754054,15.3,15.754054,structural,0.068975,0.068975,0.004229,2000,731,0.16,14.497924,0.051939,0.58,0.071547,contender,1.055324,1.055324,1.055324,1.086642,1.055324,1.086642,0.454054,0.029677,0.031319,0.029677
20260705_小倉_11,pw01dud002022101623/64,アブキールベイ,4,5,西村 淳也,55.5,14.9,7,小倉,2026-07-05,11,芝,1200,曇,重,2026-07-05T04:03:41.984502+00:00,,0,0.0,5,9.4143,33.5857,9.3,55.6286,0,7,-2.3,35,0,0,1,14.9,14.9,14.9,14.9,0,0,0,7,0,0,1.2137,0.4168,0.8048,0.2381,0.2832,0.2619,0.35,0.474919,0.0429,0.0,0.0671,0.0671,0.72724,0.251992,0.269646,0.462388,0.357612,0.18,0.083333,0.008682,9,0.243081,14.9,14.249333,14.9,14.249333,structural,0.067023,0.067023,0.005692,2000,731,0.16,14.920326,0.053334,0.58,0.072455,contender,0.998638,0.998638,0.998638,0.955028,0.998638,0.955028,-0.650667,-0.043669,-0.043609,-0.043669
20260705_小倉_11,pw01dud002022104957/C0,アメリカンビキニ,6,8,酒井 学,51,12.3,6,小倉,2026-07-05,11,芝,1200,曇,重,2026-07-05T04:03:41.984502+00:00,,0,0.0,5,3.7,36.7814,2.0857,54.3571,0,6,3.9143,35,0,0,1,12.3,12.3,12.3,12.3,0,0,0,6,0,0,0.9877,0.9286,0.0,0.2565,0.4676,0.2788,0.42,0.315778,1.119,0.1,0.0813,0.0813,0.02499,0.590455,0.517052,0.462388,0.357612,0.18,1,0.187187,9,0.393224,12.3,13.280532,12.3,13.280532,structural,0.080283,0.080283,0.006269,2000,731,0.16,12.45592,0.064607,0.58,0.085943,contender,0.987482,0.987482,0.987482,1.066202,0.987482,1.066202,0.980532,0.079718,0.07872,0.079718
20260705_小倉_11,pw01dud002021107063/8C,イツモニコニコ,8,13,藤懸 貴志,53,31,12,小倉,2026-07-05,11,芝,1200,曇,重,2026-07-05T04:03:41.984502+00:00,,0,0.0,5,8.0143,34.0343,6.3429,55.1143,0,12,5.6571,35,0,0,1,31,31,31,31,0,0,0,12,0,0,1.206,0.7361,0.6552,0.1605,0.4073,0.27,0.35,0.465054,0.7048,0.125,0.0323,0.0323,0.518245,0.430127,0.39781,0.462388,0.357612,0.18,0.583333,0.058975,9,0.353535,31,33.1386,31,33.1386,structural,0.030739,0.030739,0.000047,2000,731,0.16,32.531668,0.025634,0.74,0.030741,outsider,0.952918,0.952918,0.952918,1.018657,0.952918,1.018657,2.1386,0.068987,0.065739,0.068987
20260705_小倉_11,pw01dud002021106601/7D,ヤマニンアルリフラ,7,11,団野 大成,57.5,11.3,5,小倉,2026-07-05,11,芝,1200,曇,重,2026-07-05T04:03:41.984502+00:00,,0,0.0,5,7.6714,34.3943,11.1714,56.9857,0,5,-6.1714,35,0,0,1,11.3,11.3,11.3,11.3,0,0,0,5,0,0,1.1369,0.4017,0.5352,0.1613,0.3558,0.27,0.35,0.390259,-0.1714,0.65,0.0885,0.0885,0.557285,0.2429,0.253961,0.462388,0.357612,0.18,0,0.00793,9,0.298585,11.3,10.447657,11.3,10.447657,structural,0.082328,0.082328,0.007719,2000,731,0.16,12.146603,0.070325,0.58,0.092452,contender,0.930301,0.930301,0.930301,0.86013,0.930301,0.86013,-0.852343,-0.075429,-0.070171,-0.075429
20260705_小倉_11,pw01dud002019105658/F8,オタルエバー,5,6,角田 大和,56,24.3,11,小倉,2026-07-05,11,芝,1200,曇,重,2026-07-05T04:03:41.984502+00:00,,0,0.0,5,12.5714,34.19,16,57.3429,0,11,-5,35,0,0,1,24.3,24.3,24.3,24.3,0,0,0,11,0,0,1.1826,0.5496,0.6033,0.1969,0.2635,0.3157,0.35,0.410699,0.4476,0.1857,0.0412,0.0412,0.549785,0.270398,0.332152,0.462388,0.357612,0.18,0.166667,0.019261,9,0.276188,24.3,23.715533,24.3,23.715533,structural,0.038267,0.038267,0.000221,2000,731,0.16,26.132479,0.032702,0.74,0.038285,outsider,0.929877,0.929877,0.929877,0.907512,0.929877,0.907512,-0.584467,-0.024052,-0.022366,-0.024052
20260705_小倉_11,pw01dud002022105291/E6,ランフォーヴァウ,1,1,石川 裕紀人,54,19.1,10,小倉,2026-07-05,11,芝,1200,曇,重,2026-07-05T04:03:41.984502+00:00,,0,0.0,5,6.3857,34.6657,11,54.4857,0,10,-1,35,0,0,1,19.1,19.1,19.1,19.1,0,0,0,10,0,0,1.0635,0.7269,0.4448,0.1576,0.3665,0.2052,0.35,0.386987,0.1619,0.5736,0.0524,0.0524,0.384705,0.395035,0.376861,0.462388,0.357612,0.18,0.5,0.055807,9,0.309704,19.1,19.381155,19.1,19.381155,structural,0.047848,0.047848,0.000419,2000,731,0.16,20.899653,0.041606,0.74,0.047921,outsider,0.913891,0.913891,0.913891,0.927343,0.913891,0.927343,0.281155,0.01472,0.013453,0.01472
20260705_小倉_11,pw01dud002021103932/E6,ジェニファー,2,2,田山 旺佑,50,16.1,9,小倉,2026-07-05,11,芝,1200,曇,重,2026-07-05T04:03:41.984502+00:00,,0,0.0,5,2.9714,34.8957,2.5,54.9286,0,9,6.5,35,0,0,1,16.1,16.1,16.1,16.1,0,0,0,9,0,0,1.1592,0.8832,0.3681,0.2496,0.5639,0.5129,0.45,0.438034,1.5,0.2593,0.0621,0.0621,0.280145,0.587107,0.547455,0.462388,0.357612,0.18,0.833333,0.142552,9,0.526925,16.1,17.477835,16.1,17.477835,structural,0.056697,0.056697,0.000301,2000,731,0.16,17.637542,0.049358,0.74,0.056726,outsider,0.912826,0.912826,0.912826,0.990945,0.912826,0.990945,1.377835,0.08558,0.078119,0.08558
20260705_小倉_11,pw01dud002018106055/DC,ヨシノイースター,6,9,田辺 裕信,58,8.9,4,小倉,2026-07-05,11,芝,1200,曇,重,2026-07-05T04:03:41.984502+00:00,,0,0.0,5,6.3429,33.94,8.5,57.4571,0,4,-4.5,35,0,0,1,8.9,8.9,8.9,8.9,0,0,0,4,0,0,1.2262,0.6992,0.6867,0.2403,0.3237,0.2552,0.35,0.46018,-0.181,0.4736,0.1124,0.1124,0.551635,0.377768,0.388977,0.462388,0.357612,0.18,0.416667,0.047262,9,0.282207,8.9,8.676703,8.9,8.676703,structural,0.096009,0.096009,0.009165,2000,731,0.16,10.41573,0.089289,0.58,0.114657,contender,0.854477,0.854477,0.854477,0.833038,0.854477,0.833038,-0.223297,-0.02509,-0.021438,-0.02509
20260705_小倉_11,pw01dud002020103325/7D,プロトポロス,3,3,幸 英明,53,56.7,13,小倉,2026-07-05,11,芝,1200,曇,重,2026-07-05T04:03:41.984502+00:00,,0,0.0,5,11.9571,38.2986,9,56.1143,0,13,4,35,0,0,1,56.7,56.7,56.7,56.7,0,0,0,13,0,0,0.8394,0.8168,0.0,0.1625,0.2402,0.2868,0.6221,0.249581,1.0381,0.04,0.0176,0.0176,0.06412,0.392558,0.441937,0.462388,0.357612,0.18,0.666667,0.095708,9,0.269329,56.7,63.453755,56.7,63.453755,structural,0.014794,0.014794,0,2000,731,0.16,67.594453,0.014015,0.88,0.014794,longshot,0.838826,0.838826,0.838826,0.938742,0.838826,0.938742,6.753755,0.119114,0.099916,0.119114
