race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,horse_country,is_overseas_race,country_value_score,history_count,avg_finish,avg_last3f,avg_popularity,avg_weight,avg_odds,current_popularity_score,popularity_gap,days_since_last_run,odds_history_trend,odds_volatility,odds_snapshot_count,odds_first,odds_latest,odds_min,odds_max,odds_range_ratio,odds_slope_recent,odds_slope_full,popularity_latest,popularity_change,odds_span_minutes,speed_score,front_rate,closing_strength,consistency,ability_score,course_score,pace_score,weight_score,jockey_score,market_support,market_support_base,pace_high,pace_mid,pace_slow,pace_mix_high,pace_mix_mid,pace_mix_slow,model_score,win_odds,predicted_odds_structural,predicted_odds_live,predicted_odds,predicted_odds_source,win_prob,fair_odds,market_prob,market_shrink_used,probability_cap,probability_band,ev,ev_win,ev_current,ev_predicted_structural,ev_predicted_live,ev_predicted,odds_gap,odds_gap_ratio,ev_delta,ev_delta_ratio,win5_rank
20260607_東京_09,pw01dud002021100597/F4,ズイウンゴサイ,2,2,津村 明秀,58,28.9,8,東京,2026-06-07,09,芝,2000,,0,0.0,4,5.629,34.0161,6.1774,58,0,8,1.8226,35,0,0,1,28.9,28.9,28.9,28.9,0,0,0,8,0,0,0.8199,0.4915,0.6613,0.5467,0.2736,0.3032,0.505083,-0.0,0.0,0.0346,0.0346,0.60782,0.39911,0.44329,0.46965,0.35035,0.18,0.242325,28.9,28.388538,28.9,28.388538,structural,0.041765,23.94377,0.02714,0.58,0.041765,contender,1.206995,1.206995,1.206995,1.185634,1.206995,1.185634,-0.511462,-0.017698,-0.021361,-0.017698,8
20260607_東京_09,pw01dud002021101068/31,クロシェットノエル,3,3,武藤 雅,56,21.7,7,東京,2026-06-07,09,芝,2000,,0,0.0,4,4,34.3919,3.629,55.5484,0,7,3.371,35,0,0,1,21.7,21.7,21.7,21.7,0,0,0,7,0,0,0.8814,0.759,0.536,1.0,0.3637,0.4218,0.550159,-0.1505,0.2097,0.0461,0.0461,0.43275,0.63365,0.69399,0.46965,0.35035,0.18,0.310099,21.7,22.33969,21.7,22.33969,structural,0.052533,19.035675,0.036145,0.58,0.052533,contender,1.139965,1.139965,1.139965,1.17357,1.139965,1.17357,0.63969,0.029479,0.033605,0.029479,7
20260607_東京_09,pw01dud002022106817/2D,マイネルアレス,5,5,丹内 祐次,58,19.4,6,東京,2026-06-07,09,芝,2000,,0,0.0,4,2.7581,34.3839,3.6613,58,0,6,2.3387,35,0,0,1,19.4,19.4,19.4,19.4,0,0,0,6,0,0,0.8834,0.888,0.5387,0.3483,0.5215,0.1801,0.480086,-0.0,0.5008,0.0515,0.0515,0.389355,0.54284,0.594675,0.46965,0.35035,0.18,0.367302,19.4,19.676554,19.4,19.676554,structural,0.057564,17.371844,0.04043,0.58,0.057564,contender,1.11675,1.11675,1.11675,1.132669,1.11675,1.132669,0.276554,0.014255,0.01592,0.014255,6
20260607_東京_09,pw01dud002022105139/ED,サラスヴァティー,8,8,横山 武史,56,6.7,3,東京,2026-06-07,09,芝,2000,,0,0.0,4,1.4516,34.2871,2.7581,55.0968,0,3,0.2419,35,0,0,1,6.7,6.7,6.7,6.7,0,0,0,3,0,0,0.8894,0.8824,0.571,0.6667,0.753,0.3151,0.579825,-0.3011,0.7266,0.1493,0.1493,0.41231,0.75299,0.679855,0.46965,0.35035,0.18,0.505102,6.7,6.521443,6.7,6.521443,structural,0.165599,6.038687,0.117067,0.38,0.177028,favorite,1.109513,1.109513,1.109513,1.079944,1.109513,1.079944,-0.178557,-0.02665,-0.029569,-0.02665,2
20260607_東京_09,pw01dud002021105865/1C,エボルヴィング,4,4,M.ディー,58,15.2,5,東京,2026-06-07,09,芝,2000,,0,0.0,4,9.1613,36.2177,6.5323,58,0,5,-1.5323,35,0,0,1,15.2,15.2,15.2,15.2,0,0,0,5,0,0,0.8743,0.7249,0.0,0.1408,0.3275,0.1882,0.253912,-0.0,0.1129,0.0658,0.0658,0.096285,0.35097,0.476275,0.46965,0.35035,0.18,0.221452,15.2,14.421319,15.2,14.421319,structural,0.070168,14.25142,0.051602,0.58,0.070168,contender,1.06656,1.06656,1.06656,1.011922,1.06656,1.011922,-0.778681,-0.051229,-0.054639,-0.051229,5
20260607_東京_09,pw01dud002022105421/D8,コンフォルツァ,1,1,丸山 元気,58,10.6,4,東京,2026-06-07,09,芝,2000,,0,0.0,4,3.4032,33.9016,3.129,57.2419,0,4,0.871,35,0,0,1,10.6,10.6,10.6,10.6,0,0,0,4,0,0,0.9244,0.6708,0.6995,0.4,0.4537,0.275,0.528232,-0.2527,0.3879,0.0943,0.0943,0.569895,0.48101,0.51144,0.46965,0.35035,0.18,0.335703,10.6,10.69298,10.6,10.69298,structural,0.097069,10.301983,0.073995,0.58,0.097069,contender,1.028928,1.028928,1.028928,1.037953,1.028928,1.037953,0.09298,0.008772,0.009025,0.008772,4
20260607_東京_09,pw01dud002022105388/2C,ビーオンザカバー,7,7,戸崎 圭太,58,4.8,2,東京,2026-06-07,09,芝,2000,,0,0.0,4,4.0806,33.5113,1.9516,57.1452,0,2,0.0484,35,0,0,1,4.8,4.8,4.8,4.8,0,0,0,2,0,0,0.9739,0.5712,0.8296,0.435,0.4095,0.4476,0.573682,-0.2849,0.3879,0.2083,0.2083,0.68932,0.44949,0.51369,0.46965,0.35035,0.18,0.359679,4.8,5.150434,4.8,5.150434,structural,0.170059,5.880296,0.163405,0.38,0.237181,favorite,0.816285,0.816285,0.816285,0.87588,0.816285,0.87588,0.350434,0.073007,0.059595,0.073007,3
20260607_東京_09,pw01dud002023107056/ED,ゴーラッキー,6,6,C.ルメール,55,1.6,1,東京,2026-06-07,09,芝,2000,,0,0.0,3,2.9608,34.1471,1.6667,56.7255,0,1,-0.6667,35,0,0,1,1.6,1.6,1.6,1.6,0,0,0,1,0,0,1.0051,0.7832,0.6176,0.2979,0.5503,0.4768,0.518089,0.5752,0.6078,0.625,0.625,0.47732,0.52116,0.618485,0.46965,0.35035,0.18,0.550412,1.6,1.939983,1.6,1.939983,structural,0.345243,2.896514,0.490216,0.38,0.67348,favorite,0.552388,0.552388,0.552388,0.669765,0.552388,0.669765,0.339983,0.212489,0.117377,0.212489,1
20260607_東京_10,pw01dud002021101449/48,ライジンマル,8,16,木幡 初也,58,14.4,3,東京,2026-06-07,10,ダート,1400,,0,0.0,4,6.0806,39.6258,6.4839,58,0,3,-3.4839,35,0,0,1,14.4,14.4,14.4,14.4,0,0,0,3,0,0,0.5728,0.9545,0.0,0.4785,0.2164,0.1333,0.350257,-0.0,0.65,0.0694,0.0694,0.015925,0.44265,0.63674,0.298387,0.521613,0.18,0.225919,14.4,12.290101,14.4,12.290101,structural,0.09087,11.004787,0.054178,0.38,0.09087,favorite,1.308521,1.308521,1.308521,1.116796,1.308521,1.116796,-2.109899,-0.146521,-0.191726,-0.146521,3
20260607_東京_10,pw01dud002022104627/FD,シホノペルフェット,4,7,F.ゴンサルベス,58,34.4,8,東京,2026-06-07,10,ダート,1400,,0,0.0,4,12.4516,37.4065,9.9839,56.9516,0,8,-1.9839,35,0,0,1,34.4,34.4,34.4,34.4,0,0,0,8,0,0,0.7743,0.6546,0.0,0.2098,0.1919,0.1726,0.267031,-0.3495,0.0,0.0291,0.0291,0.12089,0.28981,0.44328,0.298387,0.521613,0.18,0.123019,34.4,30.807566,34.4,30.807566,structural,0.036331,27.524335,0.022679,0.58,0.036331,contender,1.249803,1.249803,1.249803,1.119285,1.249803,1.119285,-3.592434,-0.104431,-0.130518,-0.104431,8
